Release_Date,Title,Production company,Cast and crew,Genre
30-Jun-06,The Devil Wears Prada,Fox 2000 Pictures,"David Frankel (director); Aline Brosh McKenna (screenplay); Anne Hathaway, Meryl Streep, Emily Blunt, Stanley Tucci, Adrian Grenier, Simon Baker, Gisele Bündchen, Tracie Thoms, Stephanie Szostak","Comedy, Drama"
7-Jul-06,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures / Jerry Bruckheimer Films,"Gore Verbinski (director); Ted Elliott, Terry Rossio (screenplay); Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport, Stellan Skarsgård, Bill Nighy, Naomie Harris, Kevin McNally, Lee Arenberg, Mackenzie Crook, Tom Hollander, Geoffrey Rush","Swashbuckler, Fantasy"
14-Jul-06,Little Man,Columbia Pictures / Revolution Studios,"Keenen Ivory Wayans (director/screenplay); Marlon Wayans, Shawn Wayans (screenplay); Marlon Wayans, Shawn Wayans, Kerry Washington, John Witherspoon, Tracy Morgan, Chazz Palminteri, Molly Shannon",Comedy
14-Jul-06,"You, Me and Dupree",Universal Pictures,"Anthony Russo, Joe Russo (directors); Michael LeSieur (screenplay); Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas, Seth Rogen, Amanda Detmer, Todd Stashwick, Ralph Ting, Bill Hader","Comedy, Romance"
21-Jul-06,Clerks II,Metro-Goldwyn-Mayer / The Weinstein Company / View Askew Productions,"Kevin Smith (director/screenplay); Brian O'Halloran, Jeff Anderson, Rosario Dawson, Trevor Fehrman, Jason Mewes, Kevin Smith, Jennifer Schwalbach Smith",Comedy
21-Jul-06,Lady in the Water,Warner Bros. Pictures / Legendary Pictures / Blinding Edge Pictures,"M. Night Shyamalan (director/screenplay); Paul Giamatti, Bryce Dallas Howard, Bob Balaban, Jeffrey Wright, Sarita Choudhury, Cindy Cheung, Freddy Rodriguez, Bill Irwin, Jared Harris","Fantasy, Thriller"
21-Jul-06,Monster House,Columbia Pictures / Relativity Media / ImageMovers / Amblin Entertainment,"Gil Kenan (director); Dan Harmon, Rob Schrab, Pamela Pettler (screenplay); Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Nick Cannon, Maggie Gyllenhaal, Kevin James, Jason Lee, Catherine O'Hara, Kathleen Turner, Fred Willard","Comedy, Horror, Children"
21-Jul-06,My Super Ex-Girlfriend,20th Century Fox / Regency Enterprises,"Ivan Reitman (director); Don Payne (screenplay); Uma Thurman, Luke Wilson, Anna Faris, Eddie Izzard, Rainn Wilson, Wanda Sykes","Superhero, Comedy"
26-Jul-06,Little Miss Sunshine,Fox Searchlight Pictures / Big Beach / Deep River Productions,"Jonathan Dayton, Valerie Faris (directors); Michael Arndt (screenplay); Greg Kinnear, Steve Carell, Toni Collette, Abigail Breslin, Alan Arkin, Paul Dano, Bryan Cranston, Dean Norris, Wallace Langham","Comedy, Drama, Road"
28-Jul-06,The Ant Bully,Warner Bros. Pictures / Legendary Pictures / Playtone,"John A. Davis (director/screenplay); Zach Tyler Eisen, Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti, Regina King, Bruce Campbell, Lily Tomlin, Cheri Oteri, Ricardo Montalbán, Rob Paulsen, S. Scott Bullock, Mark DeCarlo","Adventure, Fantasy, Comedy, Family"
28-Jul-06,John Tucker Must Die,20th Century Fox,"Betty Thomas (director); Jeff Lowell (screenplay); Jesse Metcalfe, Brittany Snow, Ashanti, Sophia Bush, Arielle Kebbel, Penn Badgley, Jenny McCarthy, Fatso-Fasano, Patricia Drake, Taylor Kitsch, Kevin McNulty","Romance, Comedy"
28-Jul-06,Miami Vice,Universal Pictures,"Michael Mann (director/screenplay); Colin Farrell, Jamie Foxx, Gong Li, Justin Theroux, Naomie Harris, Ciarán Hinds, Elizabeth Rodriguez, Domenick Lombardozzi","Action, Crime, Thriller"
28-Jul-06,Scoop,Focus Features / BBC Films / Ingenious Film Partners,"Woody Allen (director/screenplay); Scarlett Johansson, Woody Allen, Hugh Jackman, Ian McShane, Charles Dance, Romola Garai, Kevin R. McNally, Julian Glover","Romance, Comedy, Mystery"
4-Aug-06,Barnyard,Paramount Pictures / Nickelodeon Movies / O Entertainment / Amblimation,"Steve Oedekerk (director/screenplay); Kevin James, Sam Elliott, Courteney Cox, Wanda Sykes, Danny Glover, Andie MacDowell, David Koechner, Jeffrey Garcia, Tino Insana, Cam Clarke, Rob Paulsen, Steve Oedekerk, John DiMaggio, Maurice LaMarche, Fred Tatasciore, Maria Bamford","Comedy, Family"
4-Aug-06,The Night Listener,Miramax Films / IFC Films / Fortissimo Films,"Patrick Stettner (director/screenplay); Armistead Maupin, Terry Anderson (screenplay); Robin Williams, Toni Collette, Rory Culkin, Bobby Cannavale, Sandra Oh, Joe Morton, John Cullum, Lisa Emery",Psychological thriller
4-Aug-06,Talladega Nights: The Ballad of Ricky Bobby,Columbia Pictures / Relativity Media / Apatow Productions / Mosaic Media Group,"Adam McKay (director/screenplay); Will Ferrell (screenplay); Will Ferrell, John C. Reilly, Sacha Baron Cohen, Michael Clarke Duncan, Leslie Bibb, Gary Cole, Jane Lynch, Amy Adams, Andy Richter","Sports, Comedy"
9-Aug-06,World Trade Center,Paramount Pictures / Sullivan Bluth Studios,"Oliver Stone (director); Andrea Berloff (screenplay); Nicolas Cage, Maria Bello, Maggie Gyllenhaal, Michael Peña, Stephen Dorff, Jon Bernthal, Jay Hernandez, Michael Shannon, Donna Murphy, Frank Whaley, Jude Ciccolella, Danny Nucci","Drama, Disaster"
11-Aug-06,Pulse,The Weinstein Company / Dimension Films / Distant Horizons,"Jim Sonzero (director); Wes Craven, Ray Wright (screenplay); Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez, Zach Grenier, Samm Levine, Octavia Spencer, Ron Rifkin",Horror
11-Aug-06,Step Up,Touchstone Pictures / Summit Entertainment / Offspring Entertainment,"Anne Fletcher (director); Duane Adler, Melissa Rosenberg (screenplay); Channing Tatum, Jenna Dewan Tatum, Mario, Drew Sidora, Heavy D, Damaine Radcliff, De'Shawn Washington, Rachel Griffiths, Josh Henderson, Alyson Stoner","Dance, Romance"
11-Aug-06,Zoom,Columbia Pictures / Revolution Studios,"Peter Hewitt (director); Adam Rifkin, David Berenbaum (screenplay); Tim Allen, Courteney Cox, Chevy Chase, Rip Torn, Spencer Breslin, Kevin Zegers, Michael Cassidy, Kate Mara, Ryan Newman","Adventure, Superhero"
18-Aug-06,Accepted,Universal Pictures / Shady Acres Entertainment,"Steve Pink (director); Adam Cooper, Bill Collage, Mark Perez (screenplay); Justin Long, Blake Lively, Anthony Heald, Jonah Hill, Lewis Black, Adam Herschman, Columbus Short, Maria Thayer, Mark Derwin, Ann Cusack",Comedy
18-Aug-06,The Illusionist,Yari Film Group,"Neil Burger (director/screenplay); Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Jake Wood","Mystery, Romance"
18-Aug-06,Material Girls,Metro-Goldwyn-Mayer / Maverick Films,"Martha Coolidge (director); Jessica O'Toole, Amy Rardin, John Quaintance (screenplay); Hilary Duff, Haylie Duff, Anjelica Huston, Lukas Haas, María Conchita Alonso, Brent Spiner, Faith Prince, Marcus Coloma, Obba Babatundé, Reagan Dale Neis",Comedy
18-Aug-06,Snakes on a Plane,New Line Cinema / Mutual Film Company,"David R. Ellis (director); Sebastian Gutierrez, David J. Taylor, John Heffernan (screenplay); Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Bobby Cannavale, Rachel Blanchard, Flex Alexander, Todd Louiso, Sunny Mabrey, Kenan Thompson, Lin Shaye, David Koechner","Action, Thriller"
18-Aug-06,Trust the Man,Fox Searchlight Pictures,"Bart Freundlich (director/screenplay); David Duchovny, Billy Crudup, Julianne Moore, Maggie Gyllenhaal, Eva Mendes, James LeGros",Romantic comedy
25-Aug-06,Beerfest,Warner Bros. Pictures / Legendary Pictures,"Jay Chandrasekhar (director/screenplay); Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske (screenplay); Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Nat Faxon, Will Forte, Ralf Möller, Mo'Nique, Eric Christian Olsen, Jürgen Prochnow, Cloris Leachman",Comedy
25-Aug-06,How to Eat Fried Worms,New Line Cinema / Walden Media,"Bob Dolman (director); Luke Benward, Hallie Eisenberg, Adam Hicks, Tom Cavanagh, Kimberly Williams-Paisley, Austin Rogers, Alexander Gould, Ryan Malgarini, Philip Daniel Bolden, Clint Howard, Ty Panitz, James Rebhorn",Comedy
25-Aug-06,Idlewild,Universal Pictures / HBO Films / Mosaic Media Group / Atlas Entertainment,"Bryan Barber (director/screenplay); André 3000, Big Boi, Paula Patton, Terrence Howard, Faizon Love, Malinda Williams, Cicely Tyson, Macy Gray, Ben Vereen, Bruce Bruce, Bill Nunn, Patti LaBelle, Ving Rhames, Jackie Long",Musical
25-Aug-06,Invincible,Walt Disney Pictures,"Ericson Core (director); Brad Gann (screenplay); Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway, Michael Rispoli, Kirk Acevedo, Dov Davidoff, Michael Kelly","Sports, Drama"
1-Sep-06,Crank,Lionsgate / Lakeshore Entertainment / RadicalMedia,"Mark Neveldine, Brian Taylor (directors/screenplay); Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez, Dwight Yoakam, Keone Young, Reno Wilson",Action
1-Sep-06,Crossover,TriStar Pictures / 360 Pictures,"Preston A. Whitmore II (director/screenplay); Anthony Mackie, Wesley Jonathan, Wayne Brady, Eva Pigford, Philip Champion, Lil' JJ, Alecia Fears",Sports
1-Sep-06,Idiocracy,20th Century Fox,"Mike Judge (director/screenplay); Etan Cohen (screenplay); Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, David Herman, Justin Long, Andrew Wilson, Scarface, Thomas Haden Church, Stephen Root","Comedy, Sci-fi"
1-Sep-06,The Wicker Man,Warner Bros. Pictures / Alcon Entertainment / Millennium Films / Saturn Films / Equity Pictures,"Neil LaBute (director); Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy, Leelee Sobieski, Molly Parker, Diane Delano",Horror
2-Sep-06,The Namesake,Fox Searchlight Pictures,"Mira Nair (director), Tabu, Irrfan Khan, Kal Penn",Drama
8-Sep-06,The Black Dahlia,Universal Pictures / Millennium Films,"Brian De Palma (director); Josh Friedman (screenplay); Josh Hartnett, Aaron Eckhart, Scarlett Johansson, Hilary Swank, Fiona Shaw, Mia Kirshner, Mike Starr, Patrick Fischler, James Otis, John Kavanagh, Rose McGowan","Neo-noir, Crime, Thriller"
8-Sep-06,The Covenant,Screen Gems / Lakeshore Entertainment,"Renny Harlin (director); J. S. Cardone (screenplay); Steven Strait, Sebastian Stan, Laura Ramsey, Taylor Kitsch, Toby Hemingway, Jessica Lucas, Chace Crawford, Wendy Crewson, Stephen McHattie, Kenneth Welsh","Horror, Thriller"
15-Sep-06,Everyone's Hero,Fox 2000 Pictures / IDT Entertainment,"Christopher Reeve, Daniel St. Pierre, Colin Brady (directors); Robert Kurtz, Jeff Hand (screenplay); Jake T. Austin, William H. Macy, Rob Reiner, Whoopi Goldberg, Raven-Symoné, Brian Dennehy, Mandy Patinkin, Robert Wagner, Forest Whitaker, Robin Williams, Dana Reeve, Richard Kind, Joe Torre","Sports, Comedy, Family"
15-Sep-06,Gridiron Gang,Columbia Pictures / Relativity Media / Original Film,"Phil Joanou (director); Jeff Maguire (screenplay); Dwayne Johnson, Xzibit, Kevin Dunn, Leon Rippy, L. Scott Caldwell, Jade Yorker, Mo McRae, Setu Taase, Trever O'Brien","Sports, Drama"
15-Sep-06,The Last Kiss,Paramount Pictures / DreamWorks Pictures / Amblimation,"Tony Goldwyn (director); Zach Braff, Paul Haggis (screenplay); Zach Braff, Jacinda Barrett, Casey Affleck, Rachel Bilson, Blythe Danner, Tom Wilkinson, Michael Weston, Eric Christian Olsen, Harold Ramis","Romance, Comedy, Drama"
22-Sep-06,All the King's Men,Columbia Pictures / Relativity Media / Phoenix Pictures,"Steven Zaillian (director/screenplay); Sean Penn, Jude Law, Kate Winslet, Anthony Hopkins, James Gandolfini, Patricia Clarkson, Mark Ruffalo, Jackie Earle Haley, Kathy Baker",Drama
22-Sep-06,Flyboys,Metro-Goldwyn-Mayer / Ingenious Film Partners / Electric Entertainment,"Tony Bill (director); David S. Ward, Phil Sears, Blake T. Evans (screenplay); James Franco, Martin Henderson, Jean Reno, Jennifer Decker, Abdul Salis, Philip Winchester, Tyler Labine, David Ellison","War, Drama"
22-Sep-06,Jackass Number Two,Paramount Pictures / MTV Films / Dickhouse Productions / Sullivan Bluth Studios,"Jeff Tremaine (director/screenplay); Spike Jonze (screenplay); Johnny Knoxville, Bam Margera, Chris Pontius, Steve-O, Ryan Dunn, Dave England, Jason Acuña, Preston Lacy, Ehren McGhehey",Comedy
29-Sep-06,Facing the Giants,Samuel Goldwyn Films / Sherwood Pictures / Provident Films,"Alex Kendrick (director/screenplay); Stephen Kendrick (screenplay); Alex Kendrick, Shannen Fields, James Blackwell, Jim McBride, Jason McLeod, Erin Bethea, Tracey Cave","Christian, Sports, Drama"
29-Sep-06,The Guardian,Touchstone Pictures / Beacon Pictures / Flash Film Works,"Andrew Davis (director); Ron L. Brinkerhoff (screenplay); Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller, Clancy Brown, Omari Hardwick","Action, Adventure, Drama"
29-Sep-06,Open Season,Columbia Pictures / Sony Pictures Animation,"Jill Culton, Roger Allers (directors); Steve Bencich, Ron J. Friedman (screenplay); Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing, Billy Connolly, Jon Favreau, Georgia Engel, Jane Krakowski, Patrick Warburton, Gordon Tootoosis","Comedy, Family"
29-Sep-06,School for Scoundrels,Metro-Goldwyn-Mayer / The Weinstein Company / Dimension Films,"Todd Phillips (director); Billy Bob Thornton, Jon Heder, Michael Clarke Duncan, Jacinda Barrett, Sarah Silverman, Ben Stiller, David Cross, Matt Walsh, Horatio Sanz",Comedy
6-Oct-06,The Departed,Warner Bros. Pictures,"Martin Scorsese (director); William Monahan (screenplay); Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Alec Baldwin","Crime, Drama"
6-Oct-06,Employee of the Month,Lionsgate / Tapestry Films,"Greg Coolidge (director/screenplay); Don Calame, Chris Conroy (screenplay); Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick, Brian George, Harland Williams, Efren Ramirez, Marcello Thedford, Tim Bagley, Danny Woodburn",Comedy
6-Oct-06,The Texas Chainsaw Massacre: The Beginning,New Line Cinema / Platinum Dunes,"Jonathan Liebesman (director); Sheldon Turner (screenplay); Andrew Bryniarski, Jordana Brewster, Taylor Handley, Diora Baird, Matt Bomer, Lee Tergesen, R. Lee Ermey",Slasher
13-Oct-06,The Grudge 2,Columbia Pictures / Ghost House Pictures,"Takashi Shimizu (director); Stephen Susco (screenplay); Sarah Michelle Gellar, Amber Tamblyn, Arielle Kebbel, Jennifer Beals, Edison Chen, Sarah Roemer, Teresa Palmer",Horror
13-Oct-06,Man of the Year,Universal Pictures / Morgan Creek Productions,"Barry Levinson (director/screenplay); Robin Williams, Christopher Walken, Laura Linney, Lewis Black, Jeff Goldblum, Tina Fey, Amy Poehler","Comedy, Drama"
13-Oct-06,The Marine,20th Century Fox / WWE Studios,"John Bonito (director); Alan B. McElroy, Michelle Gallagher (screenplay); John Cena, Robert Patrick, Kelly Carlson, Anthony Ray Parker, Abigail Bianca, Damon Gibson, Manu Bennett, Jerome Ehlers, Drew Powell, Jeff Chase",Action
13-Oct-06,One Night with the King,Gener8Xion Entertainment,"Michael O. Sajbel (director); Stephan Blinn (screenplay); Tiffany Dupont, Luke Goss, John Rhys-Davies, Omar Sharif, Peter O'Toole, Tom Lister Jr., Jonah Lotan, John Noble, James Callis",Epic
20-Oct-06,Flags of Our Fathers,Paramount Pictures / DreamWorks Pictures / Warner Bros. Pictures / Sullivan Bluth Studios / Amblin Entertainment,"Clint Eastwood (director); William Broyles Jr., Paul Haggis (screenplay); Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey, Paul Walker, John Slattery, Barry Pepper, Jamie Bell, Robert Patrick, Neal McDonough and Benjamin Walker",War
20-Oct-06,Flicka,Fox 2000 Pictures,"Michael Mayer (director); Mark Rosenthal, Lawrence Konner (screenplay); Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Dallas Roberts, Nick Searcy, Danny Pino","Adventure, Drama"
20-Oct-06,Marie Antoinette,Columbia Pictures / Tohokushinsha Film / American Zoetrope,"Sofia Coppola (director/screenplay); Kirsten Dunst, Jason Schwartzman, Judy Davis, Rip Torn, Rose Byrne, Asia Argento, Molly Shannon, Shirley Henderson, Danny Huston, Steve Coogan, Tom Hardy","Comedy, Drama"
20-Oct-06,The Prestige,Touchstone Pictures / Warner Bros. Pictures / Newmarket Films,"Christopher Nolan (director/screenplay); Jonathan Nolan (screenplay); Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson, Rebecca Hall, Andy Serkis, David Bowie","Mystery, Thriller, Drama"
27-Oct-06,Babel,Paramount Vantage / Anonymous Content / Central Films / Media Rights Capital,"Alejandro González Iñárritu (director); Guillermo Arriaga (screenplay); Brad Pitt, Cate Blanchett, Gael García Bernal, Kōji Yakusho, Adriana Barraza, Rinko Kikuchi, Elle Fanning, Peter Wight, Harriet Walter, Michael Peña",Drama
27-Oct-06,Catch a Fire,Universal Pictures / Working Title Films / Mirage Enterprises,"Phillip Noyce (director); Derek Luke, Tim Robbins, Bonnie Henna","Biographical, Thriller"
27-Oct-06,Dirty Sanchez: the Movie,Vertigo Films / MTV Europe,"Jim Hickey (director); Mathew Pritchard, Michael Locke (The Pain Men), Lee Dainton, Dan Joyce",Reality
27-Oct-06,Running with Scissors,TriStar Pictures,"Ryan Murphy (director); Annette Bening, Brian Cox, Joseph Fiennes","Comedy, Drama"
27-Oct-06,Saw III,Lionsgate / Twisted Pictures,"Darren Lynn Bousman (director); Leigh Whannell (screenplay); Tobin Bell, Angus Macfadyen, Shawnee Smith, Donnie Wahlberg, Dina Meyer, Bahar Soomekh, J. Larose",Horror
3-Nov-06,Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox 2000 Pictures,"Larry Charles (director); Sacha Baron Cohen (screenplay); Sacha Baron Cohen, Ken Davitian, Luenell Campbell, Pamela Anderson","Comedy, Mockumentary"
3-Nov-06,Flushed Away,Paramount Pictures / DreamWorks Animation / Aardman Animations,"David Bowers, Sam Fell (directors); Dick Clement, Ian La Frenais, Chris Lloyd, Joe Keenan, William Davies (screenplay); Hugh Jackman, Kate Winslet, Ian McKellen, Andy Serkis, Bill Nighy, Jean Reno, Shane Richie, Kathy Burke, David Suchet, Miriam Margolyes","Action, Adventure, Comedy, Family"
3-Nov-06,The Santa Clause 3: The Escape Clause,Walt Disney Pictures / Boxing Cat Films,"Michael Lembeck (director); Ed Decter, John J. Strauss (screenplay); Tim Allen, Martin Short, Elizabeth Mitchell, Ann-Margret, Alan Arkin, Judge Reinhold, Wendy Crewson, Eric Lloyd, Spencer Breslin, Liliana Mumy, Peter Boyle, Kevin Pollak","Christmas, Fantasy, Comedy, Adventure, Family"
9-Nov-06,Breaking and Entering,Metro-Goldwyn-Mayer / The Weinstein Company / Miramax Films / Mirage Enterprises / Alliance Films,"Anthony Minghella (director/screenplay); Jude Law, Juliette Binoche, Robin Wright, Rafi Gavron, Martin Freeman, Juliet Stevenson, Ed Westwick, Ray Winstone, Vera Farmiga",Romance
10-Nov-06,A Good Year,20th Century Fox / Scott Free Productions,"Ridley Scott (director); Marc Klein (screenplay); Russell Crowe, Albert Finney, Marion Cotillard, Didier Bourdon, Abbie Cornish, Tom Hollander, Freddie Highmore","Romance, Comedy, Drama"
10-Nov-06,Harsh Times,Metro-Goldwyn-Mayer,"David Ayer (director/screenplay); Christian Bale, Freddy Rodriguez, Eva Longoria, Tammy Trull, Terry Crews, Noel Gugliemi, Craig Ricci Shaynak, J. K. Simmons, Armando Riesco, Emilio Rivera",Crime
